deployments,CPU_REQUESTS,MEMORY_REQUESTS_in_MB,CPU_95,Memory_95
deploy1,0.1,209.72,0.0058,482.75
deploy2,0.1,209.72,0.0114,2338.59
deploy3,0.3,3145.74,0.0058,342.24
deploy4,0.3,314.57,0.0596,231.76
deploy5,0.1,367.0,0.0254,570.16
deploy6,0.05,209.72,0.0062,195.98
deploy7,0.05,209.72,0.0047,167.05
deploy8,0.05,209.72,0.0056,172.05
deploy9,0.05,209.72,0.0145,215.69
deploy10,0.05,209.72,0.0051,165.11
deploy11,0.02,2097.16,0.018,333.48
deploy12,0.1,209.72,0.0047,269.55
deploy13,0.3,838.86,0.0022,113.54
deploy14,0.3,838.86,0.0036,122.88
deploy15,0.5,734.01,0.006,669.7
deploy16,0.05,629.15,0.0052,369.04
deploy17,0.1,157.29,0.0043,173.23
deploy18,0.1,209.72,0.0589,390.93
deploy19,0.1,209.72,0.0048,367.7
deploy20,0.1,262.15,0.2247,524.15
deploy21,0.1,209.72,0.0044,327.21
deploy22,0.1,367.0,0.0039,248.42
deploy23,0.1,209.72,0.1963,445.9
deploy24,0.1,209.72,0.0162,1744.84
deploy25,0.1,209.72,0.0081,311.9
deploy26,0.05,104.86,0.0174,149.63
deploy27,0.05,104.86,0.1004,240.73
deploy28,0.05,419.43,0.0754,370.3
deploy29,0.5,1048.58,0.416,493.18
deploy30,0.3,838.86,0.4072,1344.38
deploy31,0.05,104.86,0.0988,256.39
deploy32,0.05,104.86,0.045,242.89
deploy33,0.05,2097.16,0.0226,350.43
deploy34,0.5,1572.87,0.0059,313.04
deploy35,0.2,838.86,0.0347,417.18
deploy36,0.2,838.86,0.0073,317.24
deploy37,0.05,629.15,1.9195,338.52
deploy38,0.05,104.86,0.0043,181.93
deploy39,0.5,734.01,0.0041,222.68
deploy40,0.1,209.72,0.0009,219.25
deploy41,0.05,104.86,0.0152,195.18
deploy42,0.05,104.86,0.0142,240.45
deploy43,0.05,1048.58,0.0294,11999.13
deploy44,0.05,104.86,0.0108,1089.29
deploy45,0.5,1572.87,0.0149,402.27
deploy46,0.05,104.86,0.0099,209.24
deploy47,0.5,1572.87,0.023,481.06
deploy48,0.5,524.29,0.2957,4554.73
deploy49,0.05,134.22,0.0094,78.79
deploy50,0.02,134.22,0.0006,54.77
deploy51,0.1,524.29,0.1459,644.68
deploy52,0.5,734.01,0.0124,339.09
deploy53,0.1,1610.62,0.0753,1790.03
deploy54,0.2,838.86,0.0186,356.79
deploy55,0.3,3145.74,0.0518,368.89
deploy56,0.1,2202.02,0.5434,485.22
deploy57,0.1,209.72,0.0113,369.33
deploy58,0.1,209.72,0.0032,228.11
deploy59,0.1,524.29,0.0933,362.48
deploy60,0.1,314.57,0.0153,219.27
deploy61,0.05,209.72,0.043,199.96
deploy62,0.02,134.22,0.0778,1104.67
deploy63,0.05,2097.16,0.1476,416.49
deploy64,0.01,62.91,0.0073,172.09
deploy65,0.1,1048.58,0.0104,390.04
deploy66,0.1,1048.58,0.0101,373.41
deploy67,0.05,104.86,0.0422,261.64
deploy68,0.01,104.86,0.0088,201.15
deploy69,0.1,524.29,0.051,328.98
deploy70,0.25,2621.45,0.0556,455.05
deploy71,0.05,419.43,0.254,515.7
deploy72,0.02,2097.16,0.0056,240.2
deploy73,0.05,629.15,0.0138,257.99
deploy74,0.2,838.86,0.0067,358.05
deploy75,0.4,524.29,0.0223,292.73
deploy76,0.2,838.86,0.0089,412.51
deploy77,0.3,838.86,0.2353,1909.93
deploy78,0.05,524.29,0.1237,853.58
deploy79,0.4,524.29,0.0219,374.26
deploy80,0.3,3145.74,0.0452,3970.43
deploy81,0.1,524.29,0.0634,978.42
deploy82,0.1,314.57,0.0232,298.83
deploy83,0.1,314.57,0.0042,299.32
deploy84,0.1,314.57,0.0422,332.74
deploy85,0.3,2097.16,0.0052,296.73
deploy86,0.3,2097.16,0.0888,1170.43
deploy87,0.3,2097.16,0.0043,363.88
deploy88,0.3,838.86,0.0503,378.19
